yil,nufus
1974,"4,784,170"
1975,"4,956,000"
1976,"5,140,000"
1977,"5,330,000"
1978,"5,525,000"
1979,"5,725,000"
1980,"5,930,000"
1981,"6,140,000"
1982,"6,355,000"
1983,"6,575,000"
1984,"6,800,000"
1985,"7,030,000"
1986,"7,265,000"
1987,"7,505,000"
1988,"7,750,000"
1989,"8,000,000"
1990,"8,255,000"
1991,"8,515,000"
1992,"8,780,000"
1993,"9,050,000"
1994,"9,325,000"
1995,"9,605,000"
1996,"9,890,000"
1997,"10,180,000"
1998,"10,475,000"
1999,"10,775,000"
2000,"11,076,840"
2001,"11,292,009"
2002,"11,495,948"
2003,"11,699,172"
2004,"11,910,733"
2005,"12,128,577"
2006,"12,351,506"
2007,"12,573,836"
2008,"12,697,164"
2009,"12,915,158"
2010,"13,255,685"
2011,"13,624,240"
2012,"13,854,740"
2013,"14,160,467"
2014,"14,377,018"
2015,"14,657,434"
2016,"14,804,116"
2017,"15,029,231"
2018,"15,067,724"
2019,"15,519,267"
2020,"15,462,452"
2021,"15,840,900"
2022,"15,907,951"
2023,"15,655,924"
