Tarih,doluluk_orani,GENERAL_DAM_RESERVED_WATER
01/01/2005,44.62,388
02/01/2005,44.62,388
03/01/2005,44.47,386
04/01/2005,44.42,386
05/01/2005,44.35,385
06/01/2005,44.26,385
07/01/2005,44.16,384
08/01/2005,44.01,382
09/01/2005,43.85,381
10/01/2005,43.67,379
11/01/2005,43.52,378
12/01/2005,43.35,377
13/01/2005,43.15,375
14/01/2005,42.93,373
15/01/2005,42.75,371
16/01/2005,42.91,373
17/01/2005,44.46,386
18/01/2005,47.08,409
19/01/2005,48.18,419
20/01/2005,48.36,420
21/01/2005,48.38,420
22/01/2005,48.41,421
23/01/2005,48.8,424
24/01/2005,48.9,425
25/01/2005,48.87,424
26/01/2005,49.4,429
27/01/2005,49.64,431
28/01/2005,50.17,436
29/01/2005,53.13,461
30/01/2005,55.05,478
31/01/2005,56.28,489
01/02/2005,56.69,492
02/02/2005,56.89,494
03/02/2005,58.21,506
04/02/2005,62.87,546
05/02/2005,66.46,577
06/02/2005,67.64,588
07/02/2005,68.3,593
08/02/2005,68.84,598
09/02/2005,69.12,600
10/02/2005,69.28,602
11/02/2005,69.6,605
12/02/2005,69.78,606
13/02/2005,70.13,609
14/02/2005,71.29,619
15/02/2005,74.45,647
16/02/2005,76.76,667
17/02/2005,77.69,675
18/02/2005,78.34,681
19/02/2005,79.08,687
20/02/2005,79.56,691
21/02/2005,79.93,694
22/02/2005,80.19,697
23/02/2005,80.29,697
24/02/2005,80.4,698
25/02/2005,80.49,699
26/02/2005,80.51,699
27/02/2005,80.59,700
28/02/2005,81.64,709
01/03/2005,82.37,715
02/03/2005,83.34,724
03/03/2005,86.04,747
04/03/2005,88.41,768
05/03/2005,89.28,776
06/03/2005,90.2,784
07/03/2005,91.91,798
08/03/2005,92.84,806
09/03/2005,93.26,810
10/03/2005,93.54,813
11/03/2005,93.84,815
12/03/2005,93.99,816
13/03/2005,94.04,817
14/03/2005,94.19,818
15/03/2005,94.5,821
16/03/2005,94.75,823
17/03/2005,94.79,823
18/03/2005,94.88,824
19/03/2005,94.99,825
20/03/2005,95.03,826
21/03/2005,95.04,826
22/03/2005,95.03,826
23/03/2005,94.96,825
24/03/2005,94.9,824
25/03/2005,94.86,824
26/03/2005,94.78,823
27/03/2005,94.66,822
28/03/2005,94.46,821
29/03/2005,94.38,820
30/03/2005,94.36,820
31/03/2005,94.33,819
01/04/2005,94.24,819
02/04/2005,94.14,818
03/04/2005,94,817
04/04/2005,93.93,816
05/04/2005,93.88,816
06/04/2005,93.71,814
07/04/2005,93.61,813
08/04/2005,93.44,812
09/04/2005,93.3,811
10/04/2005,93.21,810
11/04/2005,93.05,808
12/04/2005,92.91,807
13/04/2005,92.71,805
14/04/2005,92.62,805
15/04/2005,92.47,803
16/04/2005,92.4,803
17/04/2005,92.26,801
18/04/2005,92.09,800
19/04/2005,91.94,799
20/04/2005,91.85,798
21/04/2005,91.65,796
22/04/2005,91.46,794
23/04/2005,91.28,793
24/04/2005,91.15,792
25/04/2005,90.95,790
26/04/2005,90.77,789
27/04/2005,90.52,786
28/04/2005,90.28,784
29/04/2005,90.07,782
30/04/2005,90.06,782
01/05/2005,90.03,782
02/05/2005,89.89,781
03/05/2005,89.67,779
04/05/2005,89.55,778
05/05/2005,89.39,777
06/05/2005,89.26,775
07/05/2005,89.09,774
08/05/2005,88.95,773
09/05/2005,88.79,771
10/05/2005,88.56,769
11/05/2005,88.33,767
12/05/2005,88.16,766
13/05/2005,87.94,764
14/05/2005,87.66,762
15/05/2005,87.46,760
16/05/2005,87.21,758
17/05/2005,86.92,755
18/05/2005,86.71,753
19/05/2005,86.43,751
20/05/2005,86.17,749
21/05/2005,85.95,747
22/05/2005,85.89,746
23/05/2005,87.08,756
24/05/2005,87.16,757
25/05/2005,87.01,756
26/05/2005,86.94,755
27/05/2005,86.92,755
28/05/2005,86.77,754
29/05/2005,86.61,752
30/05/2005,86.48,751
31/05/2005,86.33,750
01/06/2005,86.15,748
02/06/2005,86.1,748
03/06/2005,85.97,747
04/06/2005,85.82,746
05/06/2005,85.61,744
06/06/2005,85.42,742
07/06/2005,85.17,740
08/06/2005,84.95,738
09/06/2005,84.73,736
10/06/2005,84.54,734
11/06/2005,84.29,732
12/06/2005,84.19,731
13/06/2005,84.02,730
14/06/2005,83.83,728
15/06/2005,83.55,726
16/06/2005,83.38,724
17/06/2005,83.14,722
18/06/2005,82.83,719
19/06/2005,82.56,717
20/06/2005,82.36,715
21/06/2005,82.15,714
22/06/2005,81.92,712
23/06/2005,81.68,709
24/06/2005,81.4,707
25/06/2005,81.18,705
26/06/2005,81.01,704
27/06/2005,80.73,701
28/06/2005,80.43,699
29/06/2005,80.21,697
30/06/2005,79.96,695
01/07/2005,79.7,692
02/07/2005,79.4,690
03/07/2005,79.18,688
04/07/2005,78.93,686
05/07/2005,79.44,690
06/07/2005,79.3,689
07/07/2005,79.05,687
08/07/2005,78.84,685
09/07/2005,78.63,683
10/07/2005,78.36,681
11/07/2005,78.13,679
12/07/2005,77.83,676
13/07/2005,77.55,674
14/07/2005,77.3,672
15/07/2005,77.02,669
16/07/2005,76.78,667
17/07/2005,76.56,665
18/07/2005,76.29,663
19/07/2005,76.04,661
20/07/2005,75.75,658
21/07/2005,75.48,656
22/07/2005,75.2,653
23/07/2005,74.96,651
24/07/2005,74.66,649
25/07/2005,74.43,647
26/07/2005,74.17,644
27/07/2005,73.9,642
28/07/2005,73.57,639
29/07/2005,73.29,637
30/07/2005,72.95,634
31/07/2005,72.67,631
01/08/2005,72.44,629
02/08/2005,72.1,626
03/08/2005,71.77,623
04/08/2005,71.49,621
05/08/2005,71.22,619
06/08/2005,70.92,616
07/08/2005,70.73,614
08/08/2005,70.54,613
09/08/2005,70.26,610
10/08/2005,70,608
11/08/2005,69.69,605
12/08/2005,69.37,603
13/08/2005,69.08,600
14/08/2005,68.82,598
15/08/2005,68.5,595
16/08/2005,68.2,592
17/08/2005,67.94,590
18/08/2005,67.62,587
19/08/2005,67.37,585
20/08/2005,67.05,582
21/08/2005,66.89,581
22/08/2005,66.71,579
23/08/2005,66.48,577
24/08/2005,66.19,575
25/08/2005,65.93,573
26/08/2005,65.62,570
27/08/2005,65.41,568
28/08/2005,65.15,566
29/08/2005,64.85,563
30/08/2005,64.57,561
31/08/2005,64.2,558
01/09/2005,63.85,555
02/09/2005,63.44,551
03/09/2005,63.18,549
04/09/2005,63,547
05/09/2005,62.79,545
06/09/2005,62.45,543
07/09/2005,62.24,541
08/09/2005,61.95,538
09/09/2005,61.7,536
10/09/2005,61.4,533
11/09/2005,61.11,531
12/09/2005,60.81,528
13/09/2005,60.53,526
14/09/2005,60.32,524
15/09/2005,59.99,521
16/09/2005,59.86,520
17/09/2005,59.85,520
18/09/2005,59.61,518
19/09/2005,59.44,516
20/09/2005,59.24,515
21/09/2005,60.22,523
22/09/2005,60.21,523
23/09/2005,59.99,521
24/09/2005,59.7,519
25/09/2005,59.51,517
26/09/2005,59.35,516
27/09/2005,59.13,514
28/09/2005,58.88,511
29/09/2005,58.54,509
30/09/2005,58.39,507
01/10/2005,58.07,504
02/10/2005,57.84,502
03/10/2005,57.68,501
04/10/2005,57.48,499
05/10/2005,57.09,496
06/10/2005,56.72,493
07/10/2005,56.38,490
08/10/2005,56.08,487
09/10/2005,55.78,485
10/10/2005,55.55,483
11/10/2005,55.36,481
12/10/2005,55.14,479
13/10/2005,54.91,477
14/10/2005,54.65,475
15/10/2005,54.42,473
16/10/2005,54.29,472
17/10/2005,54.08,470
18/10/2005,53.81,467
19/10/2005,53.56,465
20/10/2005,53.4,464
21/10/2005,53.22,462
22/10/2005,52.99,460
23/10/2005,52.74,458
24/10/2005,52.52,456
25/10/2005,52.32,455
26/10/2005,52.11,453
27/10/2005,51.87,451
28/10/2005,51.69,449
29/10/2005,51.44,447
30/10/2005,51.27,445
31/10/2005,51.51,447
01/11/2005,51.73,449
02/11/2005,51.55,448
03/11/2005,51.36,446
04/11/2005,51.23,445
05/11/2005,51.12,444
