District,2019 (Consumption-m3),2018 (Consumption-m3),2017 (Consumption-m3),2016 (Consumption-m3),2015 (Consumption-m3)
ADALAR,1371291,1399182,1366581,1472276,1432494
ARNAVUTKÖY,13818204,11404878,10176132,9178953,8002123
ATAŞEHİR ,22428468,21496185,21205911,19974097,18597049
AVCILAR,19485453,18312736,17558403,17052253,16220476
B.ÇEKMECE,13606571,12222470,11172787,10788924,9915435
BAHÇELİEVLER,27841515,26167510,24868593,24320533,23610609
BAKIRKÖY,15774446,15846543,12509301,11793169,11510117
BAYRAMPAŞA,13630782,13226158,12516185,11914393,11545682
BAĞCILAR,32393615,31241616,29362186,28182511,26691720
BAŞAKŞEHİR,25124137,21789720,19576095,18100255,16174934
BEYKOZ,12651607,12018646,11331655,10891434,10254740
BEYLİKDÜZÜ,17387725,16738110,14948006,13630387,12346365
BEYOĞLU,14217061,12276523,11420559,11311755,11167382
BEŞİKTAŞ,14877984,13159182,12609953,12385216,11976186
ESENLER,19175326,17804043,17162651,16584976,15854265
ESENYURT,43576187,39205682,36083030,32799007,27933397
EYÜPSULTAN,21229333,19353177,18222331,17901848,17116911
FATİH,25804441,23898917,21983686,21781211,22358121
GOP,20339712,19614773,18940716,18637751,17730853
GÜNGÖREN,13925783,13316278,12769886,12600044,18994573
K.ÇEKMECE,35731905,33889979,31994320,31086665,29188561
KADIKÖY,29163147,26133035,24797597,24310256,23910542
KARTAL,22120380,21603458,20375603,20007459,19155143
KAĞITHANE,20978127,20103122,19286724,19030632,18207418
MALTEPE,26072596,24122700,22703875,22794286,21906064
PENDİK,33631440,31793762,29743117,28474258,26499977
SANCAKTEPE,18066203,16749300,15239008,14090151,12313398
SARIYER,21989067,20565527,19427187,18711570,17555072
SULTANBEYLİ,12120982,11481268,10814861,10224559,9599250
SALTANGAZİ,21540504,20317332,19163693,18219393,17142236
SİLİVRİ,10056059,8941729,8452805,8227604,7620350
TUZLA,16936290,14956036,13625147,12690324,11546080
ZEYTİNBURNU,14827378,14272304,13469519,13068037,12576945
ÇATALCA,4080220,3665598,3311210,3222450,2931018
ÇEKMEKÖY,11658154,10808688,10205702,9705483,8951936
ÜMRANİYE,33918205,32858425,31061816,30065065,28085173
ÜSKÜDAR,28298739,27205893,26353986,26110542,25142059
ŞİLE,2965979,2522410,2196246,2098928,1835302
ŞİŞLİ,18875509,17063291,16076563,15948709,15717630
